origen,destino,num_estaciones,num_transbordos,num_troncales,distancia_km,hora_dia,dia_semana,es_hora_pico,es_fin_semana,num_portales,tiempo_minutos,categoria
Calle 19,Av 68,8,3,2,5.814,13,1,0,0,0,14.29,Rapido
Salitre El Greco,Calle 127,10,3,3,5.849,23,3,0,0,0,14.79,Rapido
Escuela Militar,Prado,8,3,4,4.335,5,4,0,0,0,15.32,Rapido
Salitre El Greco,Patio Bonito,19,4,3,6.017,12,3,0,0,0,39.23,Medio
21 Angeles,Calle 63,9,1,2,8.081,18,2,1,0,0,21.0,Rapido
Marsella,Calle 146,18,4,5,10.781,7,3,1,0,0,51.98,Lento
Tercer Milenio,Gobernacion,8,3,2,6.439,6,5,1,1,0,14.68,Rapido
Museo Nacional,Calle 106,9,4,3,7.993,22,2,0,0,0,15.39,Rapido
Molinos,Shaio,25,4,5,20.848,11,5,0,1,0,66.95,Lento
Hospitales,Calle 106,10,3,4,10.951,12,6,0,1,0,16.38,Rapido
Molinos,Calle 63,22,4,4,15.773,16,2,0,0,0,60.0,Lento
Calle 100 Suba,Tercer Milenio,11,3,3,10.436,10,4,0,0,0,19.04,Rapido
Museo Nacional,Granja,12,5,4,8.701,22,1,0,0,0,23.62,Rapido
CAN,Escuela Militar,7,3,4,2.442,6,6,1,1,0,13.46,Rapido
De La Sabana,Santa Lucia,11,3,4,10.677,15,1,0,0,0,26.29,Medio
Portal El Dorado,Calle 40 Sur,21,4,3,12.357,13,1,0,0,1,39.87,Medio
Gobernacion,Simon Bolivar,9,3,4,0.647,18,4,1,0,0,22.9,Rapido
Calle 38A Sur,Profamilia,16,2,3,9.949,20,0,1,0,0,54.67,Lento
Calle 45,Yomasa,21,2,3,13.225,10,6,0,1,0,42.73,Medio
NQS Calle 38A Sur,Museo Nacional,5,2,3,2.673,19,4,1,0,0,10.69,Rapido
Alcala,Calle 19,12,4,3,11.925,22,6,0,1,0,16.75,Rapido
Calle 19,Hospitales,5,1,2,2.302,18,1,1,0,0,9.66,Rapido
Gobernacion,Prado,9,3,3,6.392,10,4,0,0,0,19.57,Rapido
Humedal Cordoba,Prado,8,1,2,2.795,11,1,0,0,0,14.75,Rapido
Restrepo,21 Angeles,16,3,4,16.225,15,3,0,0,0,35.13,Medio
La Campiña,Ferias,12,3,3,5.909,6,1,1,0,0,41.35,Medio
Calle 106,Portal Usme,27,6,5,20.552,7,6,1,1,1,84.3,Lento
Portal Suba,San Facade,19,4,4,15.228,10,2,0,0,1,37.16,Medio
De La Sabana,Salitre El Greco,13,4,3,3.048,11,5,0,1,0,21.78,Rapido
Mundo Aventura,Portal 80,11,1,2,6.122,21,3,0,0,1,19.92,Rapido
Marsella,Aurora,17,3,4,14.008,23,4,0,0,0,41.4,Medio
Calle 100 Suba,Yomasa,23,5,5,18.959,6,1,1,0,0,65.8,Lento
Marly,Calle 100 Suba,8,1,2,6.577,21,1,0,0,0,12.01,Rapido
Salitre El Greco,Calle 34,8,1,2,4.071,23,4,0,0,0,12.52,Rapido
Olaya,Cardio Infantil,20,4,5,19.252,8,0,1,0,0,60.09,Lento
Olaya,Portal Norte,22,4,5,21.621,6,5,1,1,1,62.6,Lento
CAN,Normandia,4,0,1,2.074,15,6,0,1,0,5.39,Rapido
Cardio Infantil,Ricaurte,20,5,4,14.161,19,1,1,0,0,49.13,Medio
Flores,Calle 100 Suba,6,1,2,5.275,19,6,1,1,0,12.16,Rapido
Biblioteca Tintal,Salitre El Greco,18,4,3,5.026,5,0,0,0,0,34.98,Medio
Calle 63 NQS,Olaya,7,1,2,10.131,20,3,1,0,0,18.11,Rapido
CAN,Calle 63 NQS,9,3,4,0.808,17,0,1,0,0,25.29,Medio
Portal El Dorado,Heroes,11,1,2,6.105,18,5,1,1,1,30.61,Medio
San Victorino,Portal Usme,20,3,4,11.081,9,1,0,0,1,70.56,Lento
Simon Bolivar,Salitre El Greco,11,3,4,1.694,6,5,1,1,0,24.14,Rapido
Portal Sur,Prado,20,4,5,19.033,21,1,0,0,1,38.68,Medio
Calle 85,Calle 100,3,0,1,1.57,7,5,1,1,0,5.35,Rapido
Santa Lucia,Flores,15,3,4,12.281,23,4,0,0,0,25.56,Medio
Simon Bolivar,Santa Lucia,11,2,3,12.859,21,2,0,0,0,25.0,Rapido
Las Aguas,Ferias,12,6,4,9.667,13,3,0,0,0,23.32,Rapido
Portal El Dorado,Las Aguas,15,4,2,8.236,7,0,1,0,1,42.7,Medio
Calle 142,Calle 100 Suba,8,1,2,4.249,22,1,0,0,0,13.51,Rapido
Minuto de Dios,Calle 100,6,3,3,5.449,12,2,0,0,0,12.78,Rapido
Salitre El Greco,Humedal Cordoba,10,2,3,5.357,21,0,0,0,0,17.73,Rapido
Calle 146,Calle 38A Sur,27,6,5,22.319,13,0,0,0,0,65.28,Lento
Calle 45,Granja,10,3,3,6.712,14,4,0,0,0,18.66,Rapido
Gobernacion,Prado,9,3,3,6.392,20,2,1,0,0,27.3,Medio
Calle 127,Pepe Sierra,2,0,1,0.686,13,0,0,0,0,1.98,Rapido
Gobernacion,Calle 63,2,0,1,1.093,19,4,1,0,0,2.95,Rapido
Calle 19,Calle 100 Suba,8,3,3,8.995,9,4,0,0,0,13.56,Rapido
San Facade,Calle 40 Sur,8,1,2,6.02,18,1,1,0,0,17.91,Rapido
Av Chile,Modelia,12,3,4,3.51,11,5,0,1,0,19.56,Rapido
San Victorino,Olaya,8,2,3,3.998,9,1,0,0,0,15.11,Rapido
Calle 72,Olaya,12,3,3,10.018,5,1,0,0,0,18.69,Rapido
Olaya,Flores,10,2,3,8.559,13,1,0,0,0,17.02,Rapido
Av Cali Calle 80,Portal Suba,16,3,3,5.994,12,1,0,0,1,36.77,Medio
La Campiña,Escuela Militar,11,2,3,6.574,12,0,0,0,0,23.22,Rapido
Gratamira,Calle 100,5,0,1,4.285,13,2,0,0,0,8.75,Rapido
Ricaurte,Marly,10,1,2,2.342,5,0,0,0,0,14.63,Rapido
Simon Bolivar,Gobernacion,9,3,4,0.647,6,0,1,0,0,24.39,Rapido
Las Aguas,Polo,10,4,3,9.598,21,0,0,0,0,16.54,Rapido
General Santander,Av Chile,11,1,2,13.793,18,0,1,0,0,33.92,Medio
Centro Memoria,Molinos,17,2,3,11.619,18,0,1,0,0,89.27,Lento
Virrey,Las Aguas,11,3,2,8.559,8,5,1,1,0,26.02,Medio
Olaya,Mandalay,10,2,3,8.836,17,5,1,1,0,22.09,Rapido
Patio Bonito,Museo Nacional,12,1,2,6.973,10,4,0,0,0,22.95,Rapido
